#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2014 05 11 20 50  23  1.4  2.7  0.01 99.00  7.76 999 9999.0   5.1 999.0 999.0 99.0 99.00
2014 05 11 21 50  28  1.7  3.0  0.01 99.00  8.90 999 1014.2   5.2 999.0 999.0 99.0 99.00
2014 05 11 22 50  63  1.1  4.0  0.01 99.00  7.62 999 1014.5   5.7 999.0 999.0 99.0 99.00
2014 05 11 23 50  69  2.7  5.2  0.01 99.00  8.91 999 1014.6   4.8 999.0 999.0 99.0 99.00
2014 05 12 00 50  52  2.5  5.1  0.01 99.00  7.07 999 1013.9   5.2 999.0 999.0 99.0 99.00
2014 05 12 01 50  62  1.6  3.4  0.01 99.00  8.10 999 1014.5   4.3 999.0 999.0 99.0 99.00
2014 05 12 02 50  53  1.0  2.2  0.01 99.00  7.84 999 1014.4   5.0 999.0 999.0 99.0 99.00
2014 05 12 03 50  23  1.9  3.9  0.01 99.00  8.02 999 1013.7   4.4 999.0 999.0 99.0 99.00
2014 05 12 04 50  49  1.1  2.6  0.01 99.00  9.00 999 1013.2   4.7 999.0 999.0 99.0 99.00
2014 05 12 05 50  34  1.1  2.7  0.01 99.00  8.37 999 1014.0   4.1 999.0 999.0 99.0 99.00
2014 05 12 06 50  30  1.7  4.2  0.01 99.00  8.22 999 1013.9   3.6 999.0 999.0 99.0 99.00
2014 05 12 07 50  43  4.1  6.2  0.01 99.00  8.57 999 1013.2   3.2 999.0 999.0 99.0 99.00
2014 05 12 08 50  42  4.5  7.6  0.01 99.00  8.54 999 1012.7   4.1 999.0 999.0 99.0 99.00
2014 05 12 09 50  42  5.4  8.4  0.01 99.00  7.70 999 1011.8   3.9 999.0 999.0 99.0 99.00
2014 05 12 10 50  44  5.4  9.7  0.01 99.00  7.54 999 1011.8   3.7 999.0 999.0 99.0 99.00
2014 05 12 11 50  43  6.1 11.5  0.01 99.00  7.73 999 1011.3   3.3 999.0 999.0 99.0 99.00
2014 05 12 12 50  45  5.2  9.9  0.01 99.00  8.34 999 1012.1   3.0 999.0 999.0 99.0 99.00
2014 05 12 13 50  43  6.7 11.1  0.02 99.00  8.91 999 1011.7   2.8 999.0 999.0 99.0 99.00
2014 05 12 14 50  39  5.4 10.2  0.02 99.00  9.70 999 1011.9   2.5 999.0 999.0 99.0 99.00
2014 05 12 15 50  43  5.7  9.0  0.01 99.00  7.32 999 1012.3   2.2 999.0 999.0 99.0 99.00
2014 05 12 16 50  43  6.3 10.9  0.01 99.00  7.14 999 1012.9   1.9 999.0 999.0 99.0 99.00
2014 05 12 17 50  43  6.1  9.6 99.00 99.00 99.00 999 1012.4   1.8 999.0 999.0 99.0 99.00
2014 05 12 18 50  38  5.4  9.7  0.02 99.00  9.70 999 1012.0   1.7 999.0 999.0 99.0 99.00
2014 05 12 19 50  40  6.2  9.5 99.00 99.00 99.00 999 1011.3   1.7 999.0 999.0 99.0 99.00
2014 05 12 20 50  43  6.3  9.8  0.01 99.00  6.86 999 1011.8   1.6 999.0 999.0 99.0 99.00
2014 05 12 21 50  38  4.4  7.4  0.01 99.00  7.71 999 1012.0   1.6 999.0 999.0 99.0 99.00
