                Great Lakes Average Ice Concentration

------------------------------------------------------------------
                       Ice Concentration (%)
 
Year Day    Sup.   Mich.   Huron    Erie    Ont.  St.Clr  GL Total
------------------------------------------------------------------

2014 318    0.00    0.00    0.00    0.00    0.00    0.00    0.00
2014 319    0.27    0.00    0.00    0.00    0.00    0.00    0.10
2014 320    0.21    0.00    0.30    0.00    0.00    0.00    0.15
2014 321    0.21    0.00    0.30    0.00    0.00    0.00    0.15
2014 322    0.51    0.39    0.52    0.00    0.00    0.00    0.40
2014 324    1.14    1.00    1.62    0.00    0.00    0.00    1.03
2014 325    0.71    0.93    1.89    0.00    0.00    0.00    0.92
2014 326    0.50    1.02    0.86    0.00    0.00    0.00    0.62
2014 327    0.48    0.50    1.09    0.31    0.00   13.69    0.63
2014 328    0.33    0.73    1.14    0.10    0.09    9.57    0.61
2014 329    0.37    0.47    0.68    0.01    0.06    3.48    0.42
2014 330    0.53    0.54    0.65    0.00    0.04    3.48    0.49
2014 331    0.88    0.24    0.62    0.00    0.15    3.91    0.55
2014 332    1.05    0.47    1.09    0.00    0.15    4.63    0.78
2014 333    1.17    0.57    1.38    0.00    0.15    2.92    0.91
2014 334    1.14    0.87    0.32    0.00    0.00    1.10    0.69
2014 335    1.20    0.88    0.39    0.00    0.00    0.35    0.73
2014 336    1.57    2.15    0.38    0.00    0.00    0.28    1.15
2014 337    1.38    1.80    0.84    0.00    0.00    0.05    1.11
2014 338    1.56    1.29    1.04    0.00    0.02    0.10    1.11
2014 339    1.66    1.38    1.06    0.00    0.02    0.05    1.17
2014 340    1.74    3.20    1.72    0.00    0.03    0.00    1.77
2014 341    1.75    2.15    1.75    0.00    0.04    0.00    1.54
2014 342    1.47    2.14    2.37    0.00    0.65    0.03    1.63
2014 343    1.30    2.27    2.43    0.00    0.67    0.14    1.62
2014 344    1.75    2.70    2.12    0.00    0.71    0.07    1.80
2014 345    1.62    1.93    3.30    0.00    0.58    0.21    1.86
2014 346    1.63    1.93    3.28    0.00    0.58    0.21    1.86
2014 347    1.27    1.30    2.50    0.00    0.59    0.00    1.40
2014 348    1.25    1.21    2.46    0.00    0.26    0.00    1.34
2014 349    1.16    1.33    2.48    0.00    0.22    0.00    1.33
2014 350    1.14    1.16    2.48    0.00    0.20    0.00    1.28
2014 351    1.10    1.43    1.71    0.00    0.26    0.00    1.15
2014 352    1.50    1.23    1.76    0.00    0.52    0.00    1.28
2014 353    2.62    1.18    2.65    0.00    0.72    0.00    1.91
2014 354    2.49    5.25    9.91    0.13    1.10    0.00    4.55
2014 355    2.66    5.21   10.16    0.27    0.79    0.00    4.65
2014 356    2.43    3.21    6.86    0.00    0.72    0.00    3.30
2014 357    1.56    1.17    4.54    0.00    0.46    0.00    1.95
2014 358    1.38    1.14    2.55    0.00    0.46    0.00    1.40
2014 359    1.42    1.04    1.86    0.00    0.14    0.00    1.21
2014 360    1.48    1.19    1.96    0.00    0.13    0.00    1.28
2014 361    1.31    1.40    0.89    0.00    0.07    0.00    1.01
2014 362    1.37    1.33    1.09    0.00    0.06    0.00    1.07
2014 363    2.35    2.49    1.53    0.00    0.12    0.00    1.79
